              y              T            rho          X_CH4           X_O2           X_N2           X_CH           X_CO          X_CO2          X_H2O           X_H2
  2.2500000e-03  2.0867723e+03  1.5881396e-01  1.0870999e-16  1.1646992e-02  7.0374684e-01  3.5258058e-17  1.6990720e-02  7.6200292e-02  1.7443417e-01  7.7833184e-03
  2.5000000e-03  2.0988534e+03  1.5801583e-01  9.0485132e-17  1.1119043e-02  7.0424969e-01  3.0202111e-17  1.6369551e-02  7.6899848e-02  1.7530311e-01  7.4086469e-03
  2.7500000e-03  2.1092248e+03  1.5733997e-01  7.7295488e-17  1.0657256e-02  7.0469007e-01  2.6274876e-17  1.5810672e-02  7.7527485e-02  1.7604996e-01  7.0811505e-03
  3.0000000e-03  2.1181952e+03  1.5676248e-01  6.7439034e-17  1.0251156e-02  7.0507854e-01  2.3148484e-17  1.5306858e-02  7.8091994e-02  1.7669669e-01  6.7930614e-03
  3.5000000e-03  2.1325208e+03  1.5585530e-01  5.4217314e-17  9.5890920e-03  7.0572270e-01  1.8598690e-17  1.4453970e-02  7.9043486e-02  1.7772943e-01  6.3197471e-03
  4.0000000e-03  2.1439722e+03  1.5514120e-01  4.5631706e-17  9.0482770e-03  7.0624797e-01  1.5381151e-17  1.3737522e-02  7.9840520e-02  1.7855423e-01  5.9354562e-03
  5.0000000e-03  2.1601970e+03  1.5414828e-01  3.5892213e-17  8.2635478e-03  7.0702165e-01  1.1382590e-17  1.2656848e-02  8.1036719e-02  1.7971894e-01  5.3764154e-03
  6.0000000e-03  2.1720259e+03  1.5343467e-01  3.0381219e-17  7.6788632e-03  7.0758904e-01  8.9247846e-18  1.1835624e-02  8.1943287e-02  1.8056616e-01  4.9669063e-03
  7.0000000e-03  2.1809060e+03  1.5290278e-01  2.7029117e-17  7.2331136e-03  7.0800621e-01  7.3409492e-18  1.1209066e-02  8.2635045e-02  1.8120273e-01  4.6630532e-03
  8.5000000e-03  2.1897122e+03  1.5237260e-01  2.4461768e-17  6.7871020e-03  7.0837803e-01  6.0438272e-18  1.0609232e-02  8.3302791e-02  1.8183634e-01  4.3807701e-03
  1.0000000e-02  2.1897122e+03  1.5237260e-01  2.4461768e-17  6.7871020e-03  7.0837803e-01  6.0438272e-18  1.0609232e-02  8.3302791e-02  1.8183634e-01  4.3807701e-03
