y,<rho>,<p>,<T>,<u>,<v>,<w>,<mu>,<rho.T>/<rho>,<rho.u>/<rho>,<rho.v>/<rho>,<rho.w>/<rho>,<T">,<u">,<v">,<w">,<u'u'>,<v'v'>,<w'w'>,<u'v'>,<T'T'>,<v'T'>
-0.9558769829E+00, 0.11119E+01, 0.42999E+00, 0.12205E+01, 0.44927E+00,-0.18538E-03, 0.89134E-03,0.11495E+01,0.12181E+01,0.44320E+00,-0.64798E-05, 0.90704E-03, 0.24172E-02,0.60653E-02,-0.17890E-03,-0.15697E-04, 0.19703E-01, 0.11059E-03, 0.16434E-02,-0.70933E-03, 0.29870E-02,-0.25542E-03
-0.9477514268E+00, 0.10922E+01, 0.42993E+00, 0.12424E+01, 0.51032E+00,-0.23665E-03, 0.98518E-03,0.11638E+01,0.12400E+01,0.50377E+00,-0.76099E-05, 0.10004E-02, 0.24316E-02,0.65525E-02,-0.22904E-03,-0.15218E-04, 0.23136E-01, 0.17121E-03, 0.19349E-02,-0.96158E-03, 0.30356E-02,-0.32609E-03
-0.9389597819E+00, 0.10751E+01, 0.42985E+00, 0.12618E+01, 0.56878E+00,-0.28462E-03, 0.10731E-02,0.11765E+01,0.12595E+01,0.56201E+00,-0.87720E-05, 0.10861E-02, 0.23422E-02,0.67697E-02,-0.27585E-03,-0.12944E-04, 0.25939E-01, 0.25023E-03, 0.22272E-02,-0.12276E-02, 0.29525E-02,-0.39298E-03
-0.9295082270E+00, 0.10605E+01, 0.42975E+00, 0.12787E+01, 0.62354E+00,-0.32608E-03, 0.11503E-02,0.11875E+01,0.12765E+01,0.61680E+00,-0.99656E-05, 0.11595E-02, 0.21773E-02,0.67383E-02,-0.31612E-03,-0.91887E-05, 0.27973E-01, 0.34848E-03, 0.25143E-02,-0.14917E-02, 0.27721E-02,-0.45152E-03
-0.9194034048E+00, 0.10482E+01, 0.42963E+00, 0.12931E+01, 0.67390E+00,-0.35919E-03, 0.12071E-02,0.11969E+01,0.12911E+01,0.66740E+00,-0.11207E-04, 0.12119E-02, 0.19667E-02,0.65036E-02,-0.34799E-03,-0.48513E-05, 0.29204E-01, 0.46573E-03, 0.27893E-02,-0.17409E-02, 0.25317E-02,-0.49875E-03
-0.9086524171E+00, 0.10379E+01, 0.42950E+00, 0.13052E+01, 0.71953E+00,-0.38341E-03, 0.12327E-02,0.12048E+01,0.13035E+01,0.71340E+00,-0.12528E-04, 0.12338E-02, 0.17365E-02,0.61202E-02,-0.37089E-03,-0.10516E-05, 0.29677E-01, 0.60067E-03, 0.30448E-02,-0.19664E-02, 0.22644E-02,-0.53343E-03
-0.8972628198E+00, 0.10293E+01, 0.42935E+00, 0.13155E+01, 0.76034E+00,-0.39915E-03, 0.12180E-02,0.12114E+01,0.13139E+01,0.75470E+00,-0.13981E-04, 0.12165E-02, 0.15062E-02,0.56419E-02,-0.38517E-03, 0.14727E-05, 0.29491E-01, 0.75100E-03, 0.32737E-02,-0.21628E-02, 0.19947E-02,-0.55565E-03
-0.8852426177E+00, 0.10221E+01, 0.42919E+00, 0.13240E+01, 0.79653E+00,-0.40728E-03, 0.11593E-02,0.12169E+01,0.13227E+01,0.79142E+00,-0.15620E-04, 0.11566E-02, 0.12885E-02,0.51147E-02,-0.39166E-03, 0.26662E-05, 0.28773E-01, 0.91362E-03, 0.34710E-02,-0.23283E-02, 0.17389E-02,-0.56639E-03
-0.8726002586E+00, 0.10161E+01, 0.42902E+00, 0.13310E+01, 0.82841E+00,-0.40890E-03, 0.10602E-02,0.12215E+01,0.13300E+01,0.82384E+00,-0.17477E-04, 0.10573E-02, 0.10905E-02,0.45737E-02,-0.39142E-03, 0.29590E-05, 0.27657E-01, 0.10848E-02, 0.36351E-02,-0.24624E-02, 0.15056E-02,-0.56711E-03
-0.8593446278E+00, 0.10111E+01, 0.42885E+00, 0.13370E+01, 0.85642E+00,-0.40516E-03, 0.93134E-03,0.12253E+01,0.13361E+01,0.85238E+00,-0.19508E-04, 0.92866E-03, 0.91531E-03,0.40445E-02,-0.38565E-03, 0.26783E-05, 0.26268E-01, 0.12605E-02, 0.37691E-02,-0.25664E-02, 0.12989E-02,-0.55973E-03
-0.8454850414E+00, 0.10068E+01, 0.42867E+00, 0.13419E+01, 0.88104E+00,-0.39725E-03, 0.78914E-03,0.12285E+01,0.13412E+01,0.87749E+00,-0.21595E-04, 0.78772E-03, 0.76329E-03,0.35450E-02,-0.37566E-03, 0.14165E-05, 0.24723E-01, 0.14360E-02, 0.38775E-02,-0.26427E-02, 0.11191E-02,-0.54631E-03
-0.8310312401E+00, 0.10032E+01, 0.42851E+00, 0.13461E+01, 0.90273E+00,-0.38634E-03, 0.65209E-03,0.12312E+01,0.13455E+01,0.89965E+00,-0.23578E-04, 0.65302E-03, 0.63319E-03,0.30864E-02,-0.36276E-03,-0.93581E-06, 0.23127E-01, 0.16067E-02, 0.39617E-02,-0.26952E-02, 0.96473E-03,-0.52874E-03
-0.8159933821E+00, 0.10001E+01, 0.42835E+00, 0.13496E+01, 0.92194E+00,-0.37332E-03, 0.53375E-03,0.12335E+01,0.13491E+01,0.91927E+00,-0.25348E-04, 0.53680E-03, 0.52307E-03,0.26743E-02,-0.34797E-03,-0.30448E-05, 0.21561E-01, 0.17685E-02, 0.40204E-02,-0.27281E-02, 0.83363E-03,-0.50853E-03
