eta,f,u,T,X_N2,X_O2,X_NO,X_N,X_O,mu,rho,SoS,Rex
7.48744,6.60167,2905.07,450,0.789923,0.210077,5.72927e-17,5.2732e-17,2.34059e-11,2.50391e-05,0.781314,484.179,96203.8
7.53769,6.65192,2905.07,450,0.789923,0.210077,4.39584e-17,4.3612e-17,1.97441e-11,2.50391e-05,0.781314,484.179,96203.8
7.58794,6.70217,2905.07,450,0.789923,0.210077,3.36641e-17,3.6021e-17,1.66353e-11,2.50391e-05,0.781314,484.179,96203.8
7.63819,6.75243,2905.07,450,0.789923,0.210077,2.57321e-17,2.97113e-17,1.39991e-11,2.50391e-05,0.781314,484.179,96203.8
7.68844,6.80268,2905.07,450,0.789923,0.210077,1.96321e-17,2.4474e-17,1.17666e-11,2.50391e-05,0.781314,484.179,96203.8
7.73869,6.85293,2905.07,450,0.789923,0.210077,1.49501e-17,2.01328e-17,9.87821e-12,2.50391e-05,0.781314,484.179,96203.8
7.78894,6.90318,2905.07,450,0.789923,0.210077,1.13635e-17,1.65393e-17,8.28291e-12,2.50391e-05,0.781314,484.179,96203.8
7.8392,6.95343,2905.07,450,0.789923,0.210077,8.62118e-18,1.3569e-17,6.93689e-12,2.50391e-05,0.781314,484.179,96203.8
7.88945,7.00368,2905.07,450,0.789923,0.210077,6.52851e-18,1.11171e-17,5.8026e-12,2.50391e-05,0.781314,484.179,96203.8
7.9397,7.05393,2905.07,450,0.789923,0.210077,4.93464e-18,9.096e-18,4.84793e-12,2.50391e-05,0.781314,484.179,96203.8
7.98995,7.10418,2905.07,450,0.789923,0.210077,3.72301e-18,7.43229e-18,4.04543e-12,2.50391e-05,0.781314,484.179,96203.8
8.0402,7.15444,2905.07,450,0.789923,0.210077,2.8037e-18,6.06467e-18,3.37168e-12,2.50391e-05,0.781314,484.179,96203.8
8.09045,7.20469,2905.07,450,0.789923,0.210077,2.10752e-18,4.94202e-18,2.80673e-12,2.50391e-05,0.781314,484.179,96203.8
8.1407,7.25494,2905.07,450,0.789923,0.210077,1.58132e-18,4.02173e-18,2.3336e-12,2.50391e-05,0.781314,484.179,96203.8
8.19095,7.30519,2905.07,450,0.789923,0.210077,1.18434e-18,3.26837e-18,1.93785e-12,2.50391e-05,0.781314,484.179,96203.8
8.24121,7.35544,2905.07,450,0.789923,0.210077,8.85415e-19,2.65252e-18,1.60725e-12,2.50391e-05,0.781314,484.179,96203.8
8.29146,7.40569,2905.07,450,0.789923,0.210077,6.60749e-19,2.14978e-18,1.33141e-12,2.50391e-05,0.781314,484.179,96203.8
8.34171,7.45594,2905.07,450,0.789923,0.210077,4.92209e-19,1.73994e-18,1.10155e-12,2.50391e-05,0.781314,484.179,96203.8
8.39196,7.50619,2905.07,450,0.789923,0.210077,3.66009e-19,1.40631e-18,9.10237e-13,2.50391e-05,0.781314,484.179,96203.8
8.44221,7.55645,2905.07,450,0.789923,0.210077,2.71687e-19,1.13508e-18,7.51211e-13,2.50391e-05,0.781314,484.179,96203.8
8.49246,7.6067,2905.07,450,0.789923,0.210077,2.01319e-19,9.14897e-19,6.19185e-13,2.50391e-05,0.781314,484.179,96203.8
8.54271,7.65695,2905.07,450,0.789923,0.210077,1.48919e-19,7.36396e-19,5.09712e-13,2.50391e-05,0.781314,484.179,96203.8
8.59296,7.7072,2905.07,450,0.789923,0.210077,1.09968e-19,5.9189e-19,4.19052e-13,2.50391e-05,0.781314,484.179,96203.8
8.64322,7.75745,2905.07,450,0.789923,0.210077,8.10677e-20,4.75066e-19,3.44065e-13,2.50391e-05,0.781314,484.179,96203.8
8.69347,7.8077,2905.07,450,0.789923,0.210077,5.96617e-20,3.80753e-19,2.82119e-13,2.50391e-05,0.781314,484.179,96203.8
8.74372,7.85795,2905.07,450,0.789923,0.210077,4.38348e-20,3.0472e-19,2.3101e-13,2.50391e-05,0.781314,484.179,96203.8
8.79397,7.9082,2905.07,450,0.789923,0.210077,3.21532e-20,2.43508e-19,1.88895e-13,2.50391e-05,0.781314,484.179,96203.8
8.84422,7.95846,2905.07,450,0.789923,0.210077,2.35461e-20,1.94297e-19,1.54233e-13,2.50391e-05,0.781314,484.179,96203.8
8.89447,8.00871,2905.07,450,0.789923,0.210077,1.7215e-20,1.54788e-19,1.25742e-13,2.50391e-05,0.781314,484.179,96203.8
8.94472,8.05896,2905.07,450,0.789923,0.210077,1.25658e-20,1.23114e-19,1.02352e-13,2.50391e-05,0.781314,484.179,96203.8
8.99497,8.10921,2905.07,450,0.789923,0.210077,9.1574e-21,9.77562e-20,8.31731e-14,2.50391e-05,0.781314,484.179,96203.8
9.04523,8.15946,2905.07,450,0.789923,0.210077,6.6626e-21,7.74828e-20,6.74674e-14,2.50391e-05,0.781314,484.179,96203.8
9.09548,8.20971,2905.07,450,0.789923,0.210077,4.83944e-21,6.12972e-20,5.46218e-14,2.50391e-05,0.781314,484.179,96203.8
9.14573,8.25996,2905.07,450,0.789923,0.210077,3.50916e-21,4.8393e-20,4.41284e-14,2.50391e-05,0.781314,484.179,96203.8
9.19598,8.31021,2905.07,450,0.789923,0.210077,2.53999e-21,3.81194e-20,3.55673e-14,2.50391e-05,0.781314,484.179,96203.8
